vCrop,climate,CAPRI_NUTSII,nuts2,RCP,CO2_level,representative.median
Barley,isimip_clim,DE210000,DE21,RCP2.6,amb,5.89478499115715
Barley,isimip_clim,DE210000,DE21,RCP6.0,elev,23.4924098521484
Barley,isimip_clim,DE210000,DE21,RCP6.0,amb,4.52695938627437
Barley,isimip_clim,DE210000,DE21,RCP2.6,elev,18.1466904130661
Barley,isimip_clim,DE210000,DE21,RCP8.5,elev,29.1905100793389
Barley,isimip_clim,DE210000,DE21,RCP4.5,elev,21.7183173320784
Barley,isimip_clim,DE210000,DE21,RCP8.5,amb,1.14622316205727
Barley,isimip_clim,DE220000,DE22,RCP4.5,elev,25.5319535363034
Barley,isimip_clim,DE220000,DE22,RCP8.5,elev,32.4511212735162
Barley,isimip_clim,DE220000,DE22,RCP6.0,elev,26.9947385600876
Barley,isimip_clim,DE220000,DE22,RCP2.6,amb,9.02564553819302
Barley,isimip_clim,DE220000,DE22,RCP6.0,amb,5.0039730845778
Barley,isimip_clim,DE220000,DE22,RCP4.5,amb,5.16153674606138
Barley,isimip_clim,DE220000,DE22,RCP2.6,elev,22.1936878822482
Barley,isimip_clim,DE220000,DE22,RCP8.5,amb,2.3124140033107
Barley,isimip_clim,DE230000,DE23,RCP8.5,elev,37.4131160318432
Barley,isimip_clim,DE230000,DE23,RCP4.5,elev,26.5831029680075
Barley,isimip_clim,DE230000,DE23,RCP6.0,amb,6.23210040672136
Barley,isimip_clim,DE230000,DE23,RCP2.6,amb,8.60153810509928
Barley,isimip_clim,DE230000,DE23,RCP6.0,elev,28.2277584536229
Barley,isimip_clim,DE230000,DE23,RCP2.6,elev,22.831962768415
Barley,isimip_clim,DE230000,DE23,RCP8.5,amb,2.94127465452847
Barley,isimip_clim,DE230000,DE23,RCP4.5,amb,5.07376061335106
Barley,isimip_clim,DE240000,DE24,RCP6.0,elev,25.7212495166773
Barley,isimip_clim,DE240000,DE24,RCP8.5,elev,35.0057726464367
Barley,isimip_clim,DE240000,DE24,RCP6.0,amb,4.58539697025395
Barley,isimip_clim,DE240000,DE24,RCP4.5,elev,24.2247784924909
Barley,isimip_clim,DE240000,DE24,RCP2.6,elev,21.1403918523877
Barley,isimip_clim,DE240000,DE24,RCP2.6,amb,6.99598778899002
Barley,isimip_clim,DE240000,DE24,RCP8.5,amb,3.24639825070039
Barley,isimip_clim,DE240000,DE24,RCP4.5,amb,2.78143015958463
Barley,isimip_clim,DE250000,DE25,RCP8.5,amb,1.70402310053677
Barley,isimip_clim,DE250000,DE25,RCP2.6,elev,21.1270600075549
Barley,isimip_clim,DE250000,DE25,RCP2.6,amb,7.46073919452439
Barley,isimip_clim,DE250000,DE25,RCP8.5,elev,34.2855196749545
Barley,isimip_clim,DE250000,DE25,RCP6.0,elev,25.3999020004619
Barley,isimip_clim,DE250000,DE25,RCP4.5,amb,4.07220283177088
Barley,isimip_clim,DE250000,DE25,RCP4.5,elev,24.7981629161479
Barley,isimip_clim,DE250000,DE25,RCP6.0,amb,3.91440642170694
Barley,isimip_clim,DE260000,DE26,RCP2.6,elev,18.7278449795355
Barley,isimip_clim,DE260000,DE26,RCP4.5,amb,1.7091770616741
Barley,isimip_clim,DE260000,DE26,RCP8.5,elev,32.3524588274483
Barley,isimip_clim,DE260000,DE26,RCP6.0,amb,2.89788862965578
Barley,isimip_clim,DE260000,DE26,RCP2.6,amb,5.52529001402694
Barley,isimip_clim,DE260000,DE26,RCP6.0,elev,23.0281882315048
Barley,isimip_clim,DE260000,DE26,RCP8.5,amb,2.58919081447875
Barley,isimip_clim,DE260000,DE26,RCP4.5,elev,21.8555761918002
Barley,isimip_clim,DE270000,DE27,RCP2.6,elev,16.8715478615066
Barley,isimip_clim,DE270000,DE27,RCP6.0,elev,21.9338693881841
Barley,isimip_clim,DE270000,DE27,RCP4.5,elev,21.1566797591724
Barley,isimip_clim,DE270000,DE27,RCP4.5,amb,2.53387858060926
Barley,isimip_clim,DE270000,DE27,RCP8.5,amb,0.889016597123308
Barley,isimip_clim,DE270000,DE27,RCP2.6,amb,4.67477388401384
Barley,isimip_clim,DE270000,DE27,RCP8.5,elev,27.2222132244752
